journals,matchInTOP
EMERGING ADULTHOOD,EMERGING ADULTHOOD
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,"JOURNAL OF EXPERIMENTAL PSYCHOLOGY: LEARNING, MEMORY, AND COGNITION"
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES
PSYCHOLOGY OF RELIGION AND SPIRITUALITY,PSYCHOLOGY OF RELIGION AND SPIRITUALITY
EUROPEAN JOURNAL OF PERSONALITY,EUROPEAN JOURNAL OF PERSONALITY
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,JOURNAL OF EXPERIMENTAL PSYCHOLOGY: ANIMAL LEARNING AND COGNITION
SPORT EXERCISE AND PERFORMANCE PSYCHOLOGY,"SPORT, EXERCISE, AND PERFORMANCE PSYCHOLOGY"
JOURNAL OF EDUCATIONAL PSYCHOLOGY,JOURNAL OF EDUCATIONAL PSYCHOLOGY
LEADERSHIP QUARTERLY,THE LEADERSHIP QUARTERLY
SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE
JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY
JOURNAL OF APPLIED PSYCHOLOGY,JOURNAL OF APPLIED PSYCHOLOGY
EVOLUTION AND HUMAN BEHAVIOR,EVOLUTION AND HUMAN BEHAVIOR
JOURNAL OF ABNORMAL PSYCHOLOGY,JOURNAL OF ABNORMAL PSYCHOLOGY
CLINICAL PSYCHOLOGICAL SCIENCE,CLINICAL PSYCHOLOGICAL SCIENCE
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY
CHILD DEVELOPMENT,CHILD DEVELOPMENT
JOURNAL OF COUNSELING PSYCHOLOGY,JOURNAL OF COUNSELING PSYCHOLOGY
JOURNAL OF THE LEARNING SCIENCES,JOURNAL OF THE LEARNING SCIENCES
READING RESEARCH QUARTERLY,READING RESEARCH QUARTERLY
LEARNING AND INSTRUCTION,LEARNING AND INSTRUCTION
NATURE HUMAN BEHAVIOUR,NATURE HUMAN BEHAVIOR
CORTEX,CORTEX
PSYCHONOMIC BULLETIN & REVIEW,PSYCHONOMIC BULLETIN AND REVIEW
PSYCHOLOGICAL METHODS,PSYCHOLOGICAL METHODS
AMERICAN PSYCHOLOGIST,AMERICAN PSYCHOLOGIST
PSYCHOLOGICAL SCIENCE,PSYCHOLOGICAL SCIENCE
PSYCHOANALYTIC PSYCHOLOGY,PSYCHOANALYTIC PSYCHOLOGY
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE
JOURNAL OF PERSONALITY,JOURNAL OF PERSONALITY
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY
